Temperature - (Celsius), Year, Statistics, Country, ISO3
22.8747,1958, Apr Average, Himachal Pradesh, HP
19.8998,1958, May Average, Himachal Pradesh, HP
15.071,1958, Jun Average, Himachal Pradesh, HP
14.3656,1958, Jul Average, Himachal Pradesh, HP
15.9636,1958, Aug Average, Himachal Pradesh, HP
17.1693,1958, Sep Average, Himachal Pradesh, HP
21.7853,1958, Oct Average, Himachal Pradesh, HP
25.3394,1958, Nov Average, Himachal Pradesh, HP
26.474,1958, Dec Average, Himachal Pradesh, HP
28.1937,1959, Jan Average, Himachal Pradesh, HP
27.2543,1959, Feb Average, Himachal Pradesh, HP
26.0464,1959, Mar Average, Himachal Pradesh, HP
22.2859,1959, Apr Average, Himachal Pradesh, HP
17.671,1959, May Average, Himachal Pradesh, HP
15.2789,1959, Jun Average, Himachal Pradesh, HP
14.4357,1959, Jul Average, Himachal Pradesh, HP
16.2518,1959, Aug Average, Himachal Pradesh, HP
19.1305,1959, Sep Average, Himachal Pradesh, HP
22.4123,1959, Oct Average, Himachal Pradesh, HP
26.5099,1959, Nov Average, Himachal Pradesh, HP
26.0404,1959, Dec Average, Himachal Pradesh, HP
28.2885,1960, Jan Average, Himachal Pradesh, HP
26.7656,1960, Feb Average, Himachal Pradesh, HP
25.1702,1960, Mar Average, Himachal Pradesh, HP
21.3467,1960, Apr Average, Himachal Pradesh, HP
15.6689,1960, May Average, Himachal Pradesh, HP
13.8243,1960, Jun Average, Himachal Pradesh, HP
13.9779,1960, Jul Average, Himachal Pradesh, HP
14.3755,1960, Aug Average, Himachal Pradesh, HP
18.2087,1960, Sep Average, Himachal Pradesh, HP
22.6197,1960, Oct Average, Himachal Pradesh, HP
24.1843,1960, Nov Average, Himachal Pradesh, HP
26.6816,1960, Dec Average, Himachal Pradesh, HP
27.9029,1961, Jan Average, Himachal Pradesh, HP
27.102,1961, Feb Average, Himachal Pradesh, HP
25.6373,1961, Mar Average, Himachal Pradesh, HP
22.5122,1961, Apr Average, Himachal Pradesh, HP
17.4204,1961, May Average, Himachal Pradesh, HP
14.7775,1961, Jun Average, Himachal Pradesh, HP
13.2322,1961, Jul Average, Himachal Pradesh, HP
14.9156,1961, Aug Average, Himachal Pradesh, HP
19.8025,1961, Sep Average, Himachal Pradesh, HP
23.6339,1961, Oct Average, Himachal Pradesh, HP
25.2976,1961, Nov Average, Himachal Pradesh, HP
27.4355,1961, Dec Average, Himachal Pradesh, HP
27.602,1962, Jan Average, Himachal Pradesh, HP
27.1428,1962, Feb Average, Himachal Pradesh, HP
24.9911,1962, Mar Average, Himachal Pradesh, HP
21.6029,1962, Apr Average, Himachal Pradesh, HP
17.0157,1962, May Average, Himachal Pradesh, HP
16.3912,1962, Jun Average, Himachal Pradesh, HP
14.3947,1962, Jul Average, Himachal Pradesh, HP
15.2946,1962, Aug Average, Himachal Pradesh, HP
18.6379,1962, Sep Average, Himachal Pradesh, HP
22.1083,1962, Oct Average, Himachal Pradesh, HP
25.99,1962, Nov Average, Himachal Pradesh, HP
26.8161,1962, Dec Average, Himachal Pradesh, HP
27.1246,1963, Jan Average, Himachal Pradesh, HP
27.1846,1963, Feb Average, Himachal Pradesh, HP
25.8717,1963, Mar Average, Himachal Pradesh, HP
21.1134,1963, Apr Average, Himachal Pradesh, HP
18.0997,1963, May Average, Himachal Pradesh, HP
14.5185,1963, Jun Average, Himachal Pradesh, HP
13.5394,1963, Jul Average, Himachal Pradesh, HP
15.6429,1963, Aug Average, Himachal Pradesh, HP
18.8389,1963, Sep Average, Himachal Pradesh, HP
22.6546,1963, Oct Average, Himachal Pradesh, HP
25.1617,1963, Nov Average, Himachal Pradesh, HP
27.2154,1963, Dec Average, Himachal Pradesh, HP
27.5318,1964, Jan Average, Himachal Pradesh, HP
26.4796,1964, Feb Average, Himachal Pradesh, HP
25.6381,1964, Mar Average, Himachal Pradesh, HP
22.0299,1964, Apr Average, Himachal Pradesh, HP
17.5523,1964, May Average, Himachal Pradesh, HP
15.1977,1964, Jun Average, Himachal Pradesh, HP
14.8064,1964, Jul Average, Himachal Pradesh, HP
15.8325,1964, Aug Average, Himachal Pradesh, HP
19.3187,1964, Sep Average, Himachal Pradesh, HP
20.9474,1964, Oct Average, Himachal Pradesh, HP
24.6376,1964, Nov Average, Himachal Pradesh, HP
25.8078,1964, Dec Average, Himachal Pradesh, HP
27.7428,1965, Jan Average, Himachal Pradesh, HP
28.5175,1965, Feb Average, Himachal Pradesh, HP
25.293,1965, Mar Average, Himachal Pradesh, HP
21.3271,1965, Apr Average, Himachal Pradesh, HP
18.3382,1965, May Average, Himachal Pradesh, HP
15.1729,1965, Jun Average, Himachal Pradesh, HP
13.0195,1965, Jul Average, Himachal Pradesh, HP
15.9999,1965, Aug Average, Himachal Pradesh, HP
19.8278,1965, Sep Average, Himachal Pradesh, HP
23.3388,1965, Oct Average, Himachal Pradesh, HP
25.358,1965, Nov Average, Himachal Pradesh, HP
27.4251,1965, Dec Average, Himachal Pradesh, HP
27.5387,1966, Jan Average, Himachal Pradesh, HP
26.8971,1966, Feb Average, Himachal Pradesh, HP
25.3945,1966, Mar Average, Himachal Pradesh, HP
22.1106,1966, Apr Average, Himachal Pradesh, HP
16.8984,1966, May Average, Himachal Pradesh, HP
15.0635,1966, Jun Average, Himachal Pradesh, HP
13.53,1966, Jul Average, Himachal Pradesh, HP
14.7369,1966, Aug Average, Himachal Pradesh, HP
18.2889,1966, Sep Average, Himachal Pradesh, HP
21.0361,1966, Oct Average, Himachal Pradesh, HP
24.8905,1966, Nov Average, Himachal Pradesh, HP
25.9373,1966, Dec Average, Himachal Pradesh, HP
27.8155,1967, Jan Average, Himachal Pradesh, HP
26.4497,1967, Feb Average, Himachal Pradesh, HP
23.8227,1967, Mar Average, Himachal Pradesh, HP
22.4235,1967, Apr Average, Himachal Pradesh, HP
18.0506,1967, May Average, Himachal Pradesh, HP
14.8653,1967, Jun Average, Himachal Pradesh, HP
13.2966,1967, Jul Average, Himachal Pradesh, HP
14.7755,1967, Aug Average, Himachal Pradesh, HP
18.566,1967, Sep Average, Himachal Pradesh, HP
24.1231,1967, Oct Average, Himachal Pradesh, HP
25.5052,1967, Nov Average, Himachal Pradesh, HP
26.5303,1967, Dec Average, Himachal Pradesh, HP
28.2128,1968, Jan Average, Himachal Pradesh, HP
27.5345,1968, Feb Average, Himachal Pradesh, HP
25.5781,1968, Mar Average, Himachal Pradesh, HP
22.4616,1968, Apr Average, Himachal Pradesh, HP
16.178,1968, May Average, Himachal Pradesh, HP
15.1027,1968, Jun Average, Himachal Pradesh, HP
13.0101,1968, Jul Average, Himachal Pradesh, HP
14.395,1968, Aug Average, Himachal Pradesh, HP
18.0412,1968, Sep Average, Himachal Pradesh, HP
22.1776,1968, Oct Average, Himachal Pradesh, HP
24.954,1968, Nov Average, Himachal Pradesh, HP
26.1621,1968, Dec Average, Himachal Pradesh, HP
28.924,1969, Jan Average, Himachal Pradesh, HP
27.2999,1969, Feb Average, Himachal Pradesh, HP
25.1203,1969, Mar Average, Himachal Pradesh, HP
21.5595,1969, Apr Average, Himachal Pradesh, HP
17.8261,1969, May Average, Himachal Pradesh, HP
14.3634,1969, Jun Average, Himachal Pradesh, HP
14.7455,1969, Jul Average, Himachal Pradesh, HP
16.3194,1969, Aug Average, Himachal Pradesh, HP
17.1756,1969, Sep Average, Himachal Pradesh, HP
23.3037,1969, Oct Average, Himachal Pradesh, HP
25.1703,1969, Nov Average, Himachal Pradesh, HP
26.4963,1969, Dec Average, Himachal Pradesh, HP
27.8259,1970, Jan Average, Himachal Pradesh, HP
27.8941,1970, Feb Average, Himachal Pradesh, HP
25.2072,1970, Mar Average, Himachal Pradesh, HP
21.6807,1970, Apr Average, Himachal Pradesh, HP
17.0928,1970, May Average, Himachal Pradesh, HP
15.7423,1970, Jun Average, Himachal Pradesh, HP
13.7262,1970, Jul Average, Himachal Pradesh, HP
15.1305,1970, Aug Average, Himachal Pradesh, HP
17.9733,1970, Sep Average, Himachal Pradesh, HP
22.9387,1970, Oct Average, Himachal Pradesh, HP
24.7211,1970, Nov Average, Himachal Pradesh, HP
26.9248,1970, Dec Average, Himachal Pradesh, HP
28.2773,1971, Jan Average, Himachal Pradesh, HP
27.4417,1971, Feb Average, Himachal Pradesh, HP
25.6822,1971, Mar Average, Himachal Pradesh, HP
21.296,1971, Apr Average, Himachal Pradesh, HP
17.1565,1971, May Average, Himachal Pradesh, HP
13.7963,1971, Jun Average, Himachal Pradesh, HP
13.4384,1971, Jul Average, Himachal Pradesh, HP
15.9518,1971, Aug Average, Himachal Pradesh, HP
19.1856,1971, Sep Average, Himachal Pradesh, HP
22.7451,1971, Oct Average, Himachal Pradesh, HP
23.8639,1971, Nov Average, Himachal Pradesh, HP
26.5023,1971, Dec Average, Himachal Pradesh, HP
26.8551,1972, Jan Average, Himachal Pradesh, HP
26.8402,1972, Feb Average, Himachal Pradesh, HP
24.8161,1972, Mar Average, Himachal Pradesh, HP
21.4767,1972, Apr Average, Himachal Pradesh, HP
17.9676,1972, May Average, Himachal Pradesh, HP
15.3436,1972, Jun Average, Himachal Pradesh, HP
13.76,1972, Jul Average, Himachal Pradesh, HP
16.3481,1972, Aug Average, Himachal Pradesh, HP
19.6678,1972, Sep Average, Himachal Pradesh, HP
22.8464,1972, Oct Average, Himachal Pradesh, HP
25.6154,1972, Nov Average, Himachal Pradesh, HP
28.7911,1972, Dec Average, Himachal Pradesh, HP
28.7775,1973, Jan Average, Himachal Pradesh, HP
27.182,1973, Feb Average, Himachal Pradesh, HP
25.7131,1973, Mar Average, Himachal Pradesh, HP
22.7223,1973, Apr Average, Himachal Pradesh, HP
19.0964,1973, May Average, Himachal Pradesh, HP
15.4192,1973, Jun Average, Himachal Pradesh, HP
15.7487,1973, Jul Average, Himachal Pradesh, HP
16.4181,1973, Aug Average, Himachal Pradesh, HP
18.8318,1973, Sep Average, Himachal Pradesh, HP
22.5925,1973, Oct Average, Himachal Pradesh, HP
24.7738,1973, Nov Average, Himachal Pradesh, HP
26.7753,1973, Dec Average, Himachal Pradesh, HP
26.7638,1974, Jan Average, Himachal Pradesh, HP
25.8549,1974, Feb Average, Himachal Pradesh, HP
25.4773,1974, Mar Average, Himachal Pradesh, HP
21.1324,1974, Apr Average, Himachal Pradesh, HP
17.3486,1974, May Average, Himachal Pradesh, HP
14.0806,1974, Jun Average, Himachal Pradesh, HP
14.316,1974, Jul Average, Himachal Pradesh, HP
15.7062,1974, Aug Average, Himachal Pradesh, HP
18.0297,1974, Sep Average, Himachal Pradesh, HP
21.5093,1974, Oct Average, Himachal Pradesh, HP
23.6865,1974, Nov Average, Himachal Pradesh, HP
26.4849,1974, Dec Average, Himachal Pradesh, HP
27.0393,1975, Jan Average, Himachal Pradesh, HP
26.8073,1975, Feb Average, Himachal Pradesh, HP
24.6295,1975, Mar Average, Himachal Pradesh, HP
21.4312,1975, Apr Average, Himachal Pradesh, HP
18.1251,1975, May Average, Himachal Pradesh, HP
14.5032,1975, Jun Average, Himachal Pradesh, HP
15.7276,1975, Jul Average, Himachal Pradesh, HP
15.5381,1975, Aug Average, Himachal Pradesh, HP
19.5133,1975, Sep Average, Himachal Pradesh, HP
20.8011,1975, Oct Average, Himachal Pradesh, HP
25.0379,1975, Nov Average, Himachal Pradesh, HP
26.5636,1975, Dec Average, Himachal Pradesh, HP
26.131,1976, Jan Average, Himachal Pradesh, HP
26.4942,1976, Feb Average, Himachal Pradesh, HP
24.9692,1976, Mar Average, Himachal Pradesh, HP
21.2566,1976, Apr Average, Himachal Pradesh, HP
17.1764,1976, May Average, Himachal Pradesh, HP
14.2318,1976, Jun Average, Himachal Pradesh, HP
14.0092,1976, Jul Average, Himachal Pradesh, HP
15.1461,1976, Aug Average, Himachal Pradesh, HP
18.2701,1976, Sep Average, Himachal Pradesh, HP
21.0131,1976, Oct Average, Himachal Pradesh, HP
24.0416,1976, Nov Average, Himachal Pradesh, HP
27.5462,1976, Dec Average, Himachal Pradesh, HP
27.7969,1977, Jan Average, Himachal Pradesh, HP
27.7903,1977, Feb Average, Himachal Pradesh, HP
24.7922,1977, Mar Average, Himachal Pradesh, HP
21.4419,1977, Apr Average, Himachal Pradesh, HP
17.3785,1977, May Average, Himachal Pradesh, HP
14.229,1977, Jun Average, Himachal Pradesh, HP
13.5922,1977, Jul Average, Himachal Pradesh, HP
16.6532,1977, Aug Average, Himachal Pradesh, HP
18.1506,1977, Sep Average, Himachal Pradesh, HP
23.2472,1977, Oct Average, Himachal Pradesh, HP
25.6121,1977, Nov Average, Himachal Pradesh, HP
27.5515,1977, Dec Average, Himachal Pradesh, HP
27.7328,1978, Jan Average, Himachal Pradesh, HP
27.7089,1978, Feb Average, Himachal Pradesh, HP
26.0989,1978, Mar Average, Himachal Pradesh, HP
21.9432,1978, Apr Average, Himachal Pradesh, HP
18.2756,1978, May Average, Himachal Pradesh, HP
14.4771,1978, Jun Average, Himachal Pradesh, HP
13.5842,1978, Jul Average, Himachal Pradesh, HP
15.1244,1978, Aug Average, Himachal Pradesh, HP
17.474,1978, Sep Average, Himachal Pradesh, HP
21.7291,1978, Oct Average, Himachal Pradesh, HP
24.6318,1978, Nov Average, Himachal Pradesh, HP
26.2659,1978, Dec Average, Himachal Pradesh, HP
29.0049,1979, Jan Average, Himachal Pradesh, HP
27.0706,1979, Feb Average, Himachal Pradesh, HP
25.8261,1979, Mar Average, Himachal Pradesh, HP
21.939,1979, Apr Average, Himachal Pradesh, HP
16.8123,1979, May Average, Himachal Pradesh, HP
15.6051,1979, Jun Average, Himachal Pradesh, HP
14.1139,1979, Jul Average, Himachal Pradesh, HP
15.8447,1979, Aug Average, Himachal Pradesh, HP
19.0713,1979, Sep Average, Himachal Pradesh, HP
22.4971,1979, Oct Average, Himachal Pradesh, HP
26.426,1979, Nov Average, Himachal Pradesh, HP
28.2738,1979, Dec Average, Himachal Pradesh, HP
28.0808,1980, Jan Average, Himachal Pradesh, HP
27.4332,1980, Feb Average, Himachal Pradesh, HP
26.3843,1980, Mar Average, Himachal Pradesh, HP
22.5383,1980, Apr Average, Himachal Pradesh, HP
19.0399,1980, May Average, Himachal Pradesh, HP
15.2553,1980, Jun Average, Himachal Pradesh, HP
14.1481,1980, Jul Average, Himachal Pradesh, HP
16.5896,1980, Aug Average, Himachal Pradesh, HP
20.4401,1980, Sep Average, Himachal Pradesh, HP
22.8163,1980, Oct Average, Himachal Pradesh, HP
26.4275,1980, Nov Average, Himachal Pradesh, HP
27.7057,1980, Dec Average, Himachal Pradesh, HP
28.3524,1981, Jan Average, Himachal Pradesh, HP
27.2124,1981, Feb Average, Himachal Pradesh, HP
24.6203,1981, Mar Average, Himachal Pradesh, HP
23.4689,1981, Apr Average, Himachal Pradesh, HP
18.1503,1981, May Average, Himachal Pradesh, HP
14.503,1981, Jun Average, Himachal Pradesh, HP
14.5047,1981, Jul Average, Himachal Pradesh, HP
16.2368,1981, Aug Average, Himachal Pradesh, HP
20.4174,1981, Sep Average, Himachal Pradesh, HP
22.5055,1981, Oct Average, Himachal Pradesh, HP
24.1948,1981, Nov Average, Himachal Pradesh, HP
27.3513,1981, Dec Average, Himachal Pradesh, HP
28.5823,1982, Jan Average, Himachal Pradesh, HP
27.4811,1982, Feb Average, Himachal Pradesh, HP
24.765,1982, Mar Average, Himachal Pradesh, HP
21.8677,1982, Apr Average, Himachal Pradesh, HP
17.7706,1982, May Average, Himachal Pradesh, HP
13.4829,1982, Jun Average, Himachal Pradesh, HP
12.9939,1982, Jul Average, Himachal Pradesh, HP
17.1889,1982, Aug Average, Himachal Pradesh, HP
18.7049,1982, Sep Average, Himachal Pradesh, HP
21.9329,1982, Oct Average, Himachal Pradesh, HP
26.4708,1982, Nov Average, Himachal Pradesh, HP
27.9112,1982, Dec Average, Himachal Pradesh, HP
27.9614,1983, Jan Average, Himachal Pradesh, HP
29.2727,1983, Feb Average, Himachal Pradesh, HP
25.8942,1983, Mar Average, Himachal Pradesh, HP
20.5982,1983, Apr Average, Himachal Pradesh, HP
18.2638,1983, May Average, Himachal Pradesh, HP
14.9842,1983, Jun Average, Himachal Pradesh, HP
13.1671,1983, Jul Average, Himachal Pradesh, HP
16.5707,1983, Aug Average, Himachal Pradesh, HP
20.5765,1983, Sep Average, Himachal Pradesh, HP
23.1162,1983, Oct Average, Himachal Pradesh, HP
25.1597,1983, Nov Average, Himachal Pradesh, HP
27.1183,1983, Dec Average, Himachal Pradesh, HP
26.3554,1984, Jan Average, Himachal Pradesh, HP
26.9738,1984, Feb Average, Himachal Pradesh, HP
24.1848,1984, Mar Average, Himachal Pradesh, HP
21.6127,1984, Apr Average, Himachal Pradesh, HP
18.2886,1984, May Average, Himachal Pradesh, HP
14.891,1984, Jun Average, Himachal Pradesh, HP
13.272,1984, Jul Average, Himachal Pradesh, HP
15.7672,1984, Aug Average, Himachal Pradesh, HP
17.4864,1984, Sep Average, Himachal Pradesh, HP
22.4854,1984, Oct Average, Himachal Pradesh, HP
25.4294,1984, Nov Average, Himachal Pradesh, HP
26.945,1984, Dec Average, Himachal Pradesh, HP
28.4539,1985, Jan Average, Himachal Pradesh, HP
28.1058,1985, Feb Average, Himachal Pradesh, HP
26.4181,1985, Mar Average, Himachal Pradesh, HP
21.9048,1985, Apr Average, Himachal Pradesh, HP
18.1346,1985, May Average, Himachal Pradesh, HP
14.1376,1985, Jun Average, Himachal Pradesh, HP
14.1803,1985, Jul Average, Himachal Pradesh, HP
16.4924,1985, Aug Average, Himachal Pradesh, HP
18.4664,1985, Sep Average, Himachal Pradesh, HP
21.9809,1985, Oct Average, Himachal Pradesh, HP
25.321,1985, Nov Average, Himachal Pradesh, HP
26.7723,1985, Dec Average, Himachal Pradesh, HP
27.7885,1986, Jan Average, Himachal Pradesh, HP
27.8017,1986, Feb Average, Himachal Pradesh, HP
27.0378,1986, Mar Average, Himachal Pradesh, HP
22.411,1986, Apr Average, Himachal Pradesh, HP
18.6831,1986, May Average, Himachal Pradesh, HP
15.1793,1986, Jun Average, Himachal Pradesh, HP
13.7292,1986, Jul Average, Himachal Pradesh, HP
14.9785,1986, Aug Average, Himachal Pradesh, HP
19.3576,1986, Sep Average, Himachal Pradesh, HP
21.4129,1986, Oct Average, Himachal Pradesh, HP
24.998,1986, Nov Average, Himachal Pradesh, HP
26.8208,1986, Dec Average, Himachal Pradesh, HP
27.8549,1987, Jan Average, Himachal Pradesh, HP
26.7911,1987, Feb Average, Himachal Pradesh, HP
24.6359,1987, Mar Average, Himachal Pradesh, HP
22.8184,1987, Apr Average, Himachal Pradesh, HP
17.7368,1987, May Average, Himachal Pradesh, HP
15.7708,1987, Jun Average, Himachal Pradesh, HP
14.2037,1987, Jul Average, Himachal Pradesh, HP
15.7099,1987, Aug Average, Himachal Pradesh, HP
19.2353,1987, Sep Average, Himachal Pradesh, HP
23.0699,1987, Oct Average, Himachal Pradesh, HP
25.5307,1987, Nov Average, Himachal Pradesh, HP
27.1699,1987, Dec Average, Himachal Pradesh, HP
28.9266,1988, Jan Average, Himachal Pradesh, HP
26.9879,1988, Feb Average, Himachal Pradesh, HP
26.0648,1988, Mar Average, Himachal Pradesh, HP
22.3759,1988, Apr Average, Himachal Pradesh, HP
18.966,1988, May Average, Himachal Pradesh, HP
15.7509,1988, Jun Average, Himachal Pradesh, HP
15.0208,1988, Jul Average, Himachal Pradesh, HP
16.3729,1988, Aug Average, Himachal Pradesh, HP
20.0689,1988, Sep Average, Himachal Pradesh, HP
24.6107,1988, Oct Average, Himachal Pradesh, HP
24.7346,1988, Nov Average, Himachal Pradesh, HP
26.7162,1988, Dec Average, Himachal Pradesh, HP
27.5907,1989, Jan Average, Himachal Pradesh, HP
27.7796,1989, Feb Average, Himachal Pradesh, HP
25.3054,1989, Mar Average, Himachal Pradesh, HP
22.1477,1989, Apr Average, Himachal Pradesh, HP
18.7104,1989, May Average, Himachal Pradesh, HP
13.922,1989, Jun Average, Himachal Pradesh, HP
13.5445,1989, Jul Average, Himachal Pradesh, HP
14.4491,1989, Aug Average, Himachal Pradesh, HP
19.2995,1989, Sep Average, Himachal Pradesh, HP
22.8381,1989, Oct Average, Himachal Pradesh, HP
24.8266,1989, Nov Average, Himachal Pradesh, HP
27.2442,1989, Dec Average, Himachal Pradesh, HP
28.481,1990, Jan Average, Himachal Pradesh, HP
26.6898,1990, Feb Average, Himachal Pradesh, HP
26.4429,1990, Mar Average, Himachal Pradesh, HP
21.9322,1990, Apr Average, Himachal Pradesh, HP
18.7233,1990, May Average, Himachal Pradesh, HP
14.4219,1990, Jun Average, Himachal Pradesh, HP
14.5941,1990, Jul Average, Himachal Pradesh, HP
15.4145,1990, Aug Average, Himachal Pradesh, HP
19.0116,1990, Sep Average, Himachal Pradesh, HP
22.9824,1990, Oct Average, Himachal Pradesh, HP
26.782,1990, Nov Average, Himachal Pradesh, HP
28.13,1990, Dec Average, Himachal Pradesh, HP
28.2684,1991, Jan Average, Himachal Pradesh, HP
27.9415,1991, Feb Average, Himachal Pradesh, HP
25.7541,1991, Mar Average, Himachal Pradesh, HP
22.2463,1991, Apr Average, Himachal Pradesh, HP
18.4007,1991, May Average, Himachal Pradesh, HP
16.6841,1991, Jun Average, Himachal Pradesh, HP
14.5126,1991, Jul Average, Himachal Pradesh, HP
16.0875,1991, Aug Average, Himachal Pradesh, HP
19.6025,1991, Sep Average, Himachal Pradesh, HP
24.0968,1991, Oct Average, Himachal Pradesh, HP
25.3554,1991, Nov Average, Himachal Pradesh, HP
26.7959,1991, Dec Average, Himachal Pradesh, HP
27.5299,1992, Jan Average, Himachal Pradesh, HP
27.4986,1992, Feb Average, Himachal Pradesh, HP
26.454,1992, Mar Average, Himachal Pradesh, HP
22.7215,1992, Apr Average, Himachal Pradesh, HP
18.2617,1992, May Average, Himachal Pradesh, HP
15.1514,1992, Jun Average, Himachal Pradesh, HP
14.7177,1992, Jul Average, Himachal Pradesh, HP
15.8972,1992, Aug Average, Himachal Pradesh, HP
18.6117,1992, Sep Average, Himachal Pradesh, HP
21.8763,1992, Oct Average, Himachal Pradesh, HP
23.8451,1992, Nov Average, Himachal Pradesh, HP
26.3492,1992, Dec Average, Himachal Pradesh, HP
28.4114,1993, Jan Average, Himachal Pradesh, HP
26.9377,1993, Feb Average, Himachal Pradesh, HP
25.6066,1993, Mar Average, Himachal Pradesh, HP
23.1719,1993, Apr Average, Himachal Pradesh, HP
18.5887,1993, May Average, Himachal Pradesh, HP
14.7781,1993, Jun Average, Himachal Pradesh, HP
15.026,1993, Jul Average, Himachal Pradesh, HP
16.4257,1993, Aug Average, Himachal Pradesh, HP
19.0132,1993, Sep Average, Himachal Pradesh, HP
21.8471,1993, Oct Average, Himachal Pradesh, HP
25.716,1993, Nov Average, Himachal Pradesh, HP
26.3739,1993, Dec Average, Himachal Pradesh, HP
28.6203,1994, Jan Average, Himachal Pradesh, HP
27.1061,1994, Feb Average, Himachal Pradesh, HP
24.7469,1994, Mar Average, Himachal Pradesh, HP
21.8727,1994, Apr Average, Himachal Pradesh, HP
18.3158,1994, May Average, Himachal Pradesh, HP
14.9882,1994, Jun Average, Himachal Pradesh, HP
14.4436,1994, Jul Average, Himachal Pradesh, HP
15.4138,1994, Aug Average, Himachal Pradesh, HP
19.1802,1994, Sep Average, Himachal Pradesh, HP
23.054,1994, Oct Average, Himachal Pradesh, HP
25.4256,1994, Nov Average, Himachal Pradesh, HP
27.9447,1994, Dec Average, Himachal Pradesh, HP
28.1464,1995, Jan Average, Himachal Pradesh, HP
26.7689,1995, Feb Average, Himachal Pradesh, HP
24.8418,1995, Mar Average, Himachal Pradesh, HP
21.2076,1995, Apr Average, Himachal Pradesh, HP
17.5488,1995, May Average, Himachal Pradesh, HP
15.26,1995, Jun Average, Himachal Pradesh, HP
14.4776,1995, Jul Average, Himachal Pradesh, HP
16.919,1995, Aug Average, Himachal Pradesh, HP
20.1211,1995, Sep Average, Himachal Pradesh, HP
22.4124,1995, Oct Average, Himachal Pradesh, HP
25.5908,1995, Nov Average, Himachal Pradesh, HP
26.5282,1995, Dec Average, Himachal Pradesh, HP
27.9174,1996, Jan Average, Himachal Pradesh, HP
27.4699,1996, Feb Average, Himachal Pradesh, HP
25.5502,1996, Mar Average, Himachal Pradesh, HP
21.6897,1996, Apr Average, Himachal Pradesh, HP
18.2965,1996, May Average, Himachal Pradesh, HP
16.9452,1996, Jun Average, Himachal Pradesh, HP
14.9305,1996, Jul Average, Himachal Pradesh, HP
16.4164,1996, Aug Average, Himachal Pradesh, HP
19.5699,1996, Sep Average, Himachal Pradesh, HP
23.0588,1996, Oct Average, Himachal Pradesh, HP
25.1612,1996, Nov Average, Himachal Pradesh, HP
26.9685,1996, Dec Average, Himachal Pradesh, HP
27.4049,1997, Jan Average, Himachal Pradesh, HP
28.0478,1997, Feb Average, Himachal Pradesh, HP
24.6727,1997, Mar Average, Himachal Pradesh, HP
21.9664,1997, Apr Average, Himachal Pradesh, HP
17.7522,1997, May Average, Himachal Pradesh, HP
14.8343,1997, Jun Average, Himachal Pradesh, HP
13.4881,1997, Jul Average, Himachal Pradesh, HP
15.6403,1997, Aug Average, Himachal Pradesh, HP
20.0873,1997, Sep Average, Himachal Pradesh, HP
23.0519,1997, Oct Average, Himachal Pradesh, HP
25.8696,1997, Nov Average, Himachal Pradesh, HP
27.9143,1997, Dec Average, Himachal Pradesh, HP
28.644,1998, Jan Average, Himachal Pradesh, HP
28.4538,1998, Feb Average, Himachal Pradesh, HP
26.5978,1998, Mar Average, Himachal Pradesh, HP
22.292,1998, Apr Average, Himachal Pradesh, HP
19.1768,1998, May Average, Himachal Pradesh, HP
15.4407,1998, Jun Average, Himachal Pradesh, HP
14.3071,1998, Jul Average, Himachal Pradesh, HP
17.2443,1998, Aug Average, Himachal Pradesh, HP
20.1772,1998, Sep Average, Himachal Pradesh, HP
23.1524,1998, Oct Average, Himachal Pradesh, HP
25.2313,1998, Nov Average, Himachal Pradesh, HP
27.0559,1998, Dec Average, Himachal Pradesh, HP
29.0046,1999, Jan Average, Himachal Pradesh, HP
27.1632,1999, Feb Average, Himachal Pradesh, HP
25.8685,1999, Mar Average, Himachal Pradesh, HP
20.8842,1999, Apr Average, Himachal Pradesh, HP
18.9017,1999, May Average, Himachal Pradesh, HP
15.3187,1999, Jun Average, Himachal Pradesh, HP
14.7157,1999, Jul Average, Himachal Pradesh, HP
16.5408,1999, Aug Average, Himachal Pradesh, HP
20.286,1999, Sep Average, Himachal Pradesh, HP
23.0679,1999, Oct Average, Himachal Pradesh, HP
23.6742,1999, Nov Average, Himachal Pradesh, HP
25.8806,1999, Dec Average, Himachal Pradesh, HP
26.9125,2000, Jan Average, Himachal Pradesh, HP
27.1508,2000, Feb Average, Himachal Pradesh, HP
25.2061,2000, Mar Average, Himachal Pradesh, HP
21.6773,2000, Apr Average, Himachal Pradesh, HP
16.6272,2000, May Average, Himachal Pradesh, HP
14.0938,2000, Jun Average, Himachal Pradesh, HP
14.7065,2000, Jul Average, Himachal Pradesh, HP
15.6945,2000, Aug Average, Himachal Pradesh, HP
20.6112,2000, Sep Average, Himachal Pradesh, HP
22.0677,2000, Oct Average, Himachal Pradesh, HP
25.3575,2000, Nov Average, Himachal Pradesh, HP
26.9409,2000, Dec Average, Himachal Pradesh, HP
29.0295,2001, Jan Average, Himachal Pradesh, HP
27.476,2001, Feb Average, Himachal Pradesh, HP
24.5815,2001, Mar Average, Himachal Pradesh, HP
21.971,2001, Apr Average, Himachal Pradesh, HP
17.4261,2001, May Average, Himachal Pradesh, HP
15.585,2001, Jun Average, Himachal Pradesh, HP
14.3675,2001, Jul Average, Himachal Pradesh, HP
15.7516,2001, Aug Average, Himachal Pradesh, HP
19.7582,2001, Sep Average, Himachal Pradesh, HP
